low,high,street,side
2519,2519,ALTOONA ST,O
1900,2114,BEGOLE ST,E
2931,2931,BERKLEY ST,O
3018,3018,CLEMENT ST,E
1123,1123,DONALDSON ST,O
2527,2527,FLUSHING RD,O
1100,1328,LAVENDER AVE,E
318,318,MARQUETTE ST,E
2737,2737,NORBERT ST,O
1909,1909,RASKOB ST,O
2002,2002,SLOAN ST,E
2513,2513,STEVENSON ST,O
1100,1599,WALTON AVE,B
3313,3313,WOLCOTT ST,O
509,509,W BALTIMORE BLVD,O
100,298,W DAYTON ST,E
306,698,E GRACELAWN AVE,E
357,357,E HOME AVE,O
435,699,E MCCLELLAN ST,O
101,299,E RANKIN ST,O
800,999,SPENCER ST,B
3901,3901,N AVERILL AVE,O
2400,4899,BETA LN,B
3511,3511,N CENTER RD,O
1813,1813,DELAWARE AVE,O
5900,5999,KADER DR,B
1601,1899,NEBRASKA AVE,O
3101,3399,STARKWEATHER ST,O
1700,1999,BAYBERRY LN,B
702,702,FREEMAN AVE,E
1700,1999,LYNBROOK DR,B
3000,3299,RED BARN RD,B
2000,2199,WESTMINSTER DR,B
1350,1350,MUNSON ST,E
3275,3502,CREEKSIDE BLVD,B
4000,4099,YEAGER DR,B
4000,4198,ARLENE DR,E
5350,5350,BROBECK ST,E
3474,3510,CLAIRMONT ST,E
5221,5221,W COURT ST,O
1377,1377,S DYE RD,O
3165,3165,HERRICK ST,O
2000,2399,MAPLE CREEK DR,B
1906,1906,RIDGECLIFFE DR,E
2056,2056,ROSLYN AVE,E
901,999,S 13TH ST,O
5000,5099,CARNEGIE ST,B
1421,1421,EMILY ST,O
1100,1498,HILAND ST,E
2900,3399,MONMOUTH ST,B
2714,2898,W ROBIN DR,E
1400,2998,TUSCOLA ST,E
2001,2179,ZEROS RD,O
1501,2699,CONGRESS AVE,O
1601,1799,MACKINAW ST,O
100,849,S WHEELER ST,B
5445,6265,COUNTRY WAY S,O
3250,3599,KETTERING RD,B
4374,4432,ROSEHILL LN,E
3531,3799,W WINFIELD DR,B
2900,2999,PEARL ST,B
1540,1612,ARDIS DR,E
1000,3000,HIGHLAND GREEN DR,B
300,300,S THOMAS RD,E
1400,1499,GOPHER TRL,B
5108,5108,WESTERN DR,E
5500,5699,SAUNDERS RD,B
3080,3080,COOLIDGE RD,E
5857,5857,HUNTER RD,O
6861,6861,N NEINER RD,O
7100,7399,MAIN ST,B
3200,3998,N CRAPO RD,E
12746,13430,FORDNEY RD,E
500,620,OWOSSO ST,E
4835,4835,CLARABELLA RD,O
